Date,Value
2019-09-04,163.98929814387984
2019-09-05,164.53014241626312
2019-09-06,164.6139589501124
2019-09-09,164.7130280181973
2019-09-10,164.50908698105957
2019-09-11,165.5155010287195
2019-09-12,165.5351930199524
2019-09-13,164.76435884527422
2019-09-16,165.87219092005017
2019-09-17,165.8859094833404
2019-09-18,165.56059493696546
2019-09-19,165.58894838969195
2019-09-20,165.83643389871082
2019-09-23,166.0157682747539
2019-09-24,165.28842844221708
2019-09-25,165.27378805384657
2019-09-26,165.08131812290924
2019-09-27,164.32182223573292
2019-09-30,164.54205940417953
2019-10-01,163.27240562233433
2019-10-02,162.28203111259086
2019-10-03,163.25148696939104
2019-10-04,164.45004471260748
2019-10-07,163.7324391437009
2019-10-08,162.56229574480855
2019-10-09,163.03027535682332
2019-10-10,163.17735908585036
2019-10-11,164.16111709774708
2019-10-14,164.11042016938106
2019-10-15,164.50862086868355
2019-10-16,164.61419504180844
2019-10-17,165.33055387882504
2019-10-18,165.11419687009695
2019-10-21,165.57746571746844
2019-10-22,165.70703397485417
2019-10-23,166.08284558129483
2019-10-24,166.1620927786444
2019-10-25,166.4059886858873
2019-10-28,166.52322988326958
2019-10-29,166.60642364566652
2019-10-30,167.01156914813916
2019-10-31,166.887228720793
2019-11-01,168.2731032532404
2019-11-04,168.33536116666193
2019-11-05,167.7981887052819
2019-11-06,167.616533588635
2019-11-07,167.1070891918755
2019-11-08,167.00048839538047
2019-11-11,166.7414787221864
2019-11-12,166.7420361207395
2019-11-13,166.83727290036114
2019-11-14,167.33465071067016
2019-11-15,167.92911543660364
2019-11-18,167.87201098681294
2019-11-19,168.13143548020392
2019-11-20,168.3041418090929
2019-11-21,167.64973233081892
2019-11-22,167.81975916154624
2019-11-25,169.1177517198627
2019-11-26,169.68321930117597
2019-11-27,170.00839657806114
2019-11-29,168.99148909270136
2019-12-02,167.79899432376172
2019-12-03,168.11503319498087
2019-12-04,168.7051410413847
2019-12-05,168.8000309043756
2019-12-06,169.47769115562005
2019-12-09,169.27973656464
2019-12-10,169.33099693896332
2019-12-11,169.7021952239063
2019-12-12,170.03793011736153
2019-12-13,170.3099611333999
2019-12-16,170.84530881474143
2019-12-17,171.09404037240674
2019-12-18,171.19673916663027
2019-12-19,171.77195292722394
2019-12-20,172.1701950881164
2019-12-23,172.12507049285512
2019-12-24,172.46516916439558
2019-12-26,173.0452702339597
2019-12-27,173.00704900530636
2019-12-30,172.63751110649065
2019-12-31,172.46539375527848
2020-01-02,173.2217966347362
2020-01-03,173.36577011971764
2020-01-06,173.3644259111741
2020-01-07,172.84547593932328
2020-01-08,172.6186342443054
2020-01-09,172.9261258103423
2020-01-10,173.28280844601875
2020-01-13,173.79330947183112
2020-01-14,173.94770017998974
2020-01-15,174.24693032078767
2020-01-16,174.89223138718654
2020-01-17,174.86538245788077
2020-01-21,174.5632778534663
2020-01-22,174.45860181695105
2020-01-23,174.41623210236287
2020-01-24,173.66306873717528
2020-01-27,172.20639489053409
2020-01-28,172.92530923951298
2020-01-29,172.95461922308064
2020-01-30,172.7116515167687
2020-01-31,171.19447357621405
2020-02-03,171.42442966913285
2020-02-04,172.50112775161372
2020-02-05,173.31671095056004
2020-02-06,173.59540653683717
2020-02-07,173.08455797180068
2020-02-10,173.60674489794238
2020-02-11,174.24719502290412
2020-02-12,175.03166325900133
2020-02-13,175.09505895636696
2020-02-14,175.34432982620052
2020-02-18,175.38645336536533
2020-02-19,175.63403046873407
2020-02-20,175.8305621479952
2020-02-21,175.55450937962473
2020-02-24,172.7531145078451
2020-02-25,170.17041937587533
2020-02-26,169.32257061891178
2020-02-27,165.67508620067076
2020-02-28,164.4784068123919
2020-03-02,167.60960607448555
2020-03-03,167.1776159060963
2020-03-04,169.98477593024208
2020-03-05,167.7497202403414
2020-03-06,166.6440068171432
2020-03-09,157.96906318538663
2020-03-10,160.59057629621853
2020-03-11,153.97612846563234
2020-03-12,143.49267333687098
2020-03-13,149.7541967531024
2020-03-16,138.44586022660778
2020-03-17,140.67941355227978
2020-03-18,131.83281002130568
2020-03-19,132.40388251872045
2020-03-20,131.75254911535148
2020-03-23,131.59925805957494
2020-03-24,138.3655280310986
2020-03-25,142.17258677047278
2020-03-26,146.98426084148065
2020-03-27,145.44684993278082
2020-03-30,147.22183737201902
2020-03-31,145.90525890282453
2020-04-01,140.99381311886827
2020-04-02,142.61031856159195
2020-04-03,141.11817901660402
2020-04-06,146.59616853512642
2020-04-07,147.27878990736747
2020-04-08,150.6431358355335
2020-04-09,154.91218451958474
2020-04-13,153.12624400777483
2020-04-14,154.75527830243348
2020-04-15,152.07470957248157
2020-04-16,152.02281666344413
2020-04-17,154.21981496298383
2020-04-20,152.19453826084853
2020-04-21,149.55236914914894
2020-04-22,151.08312762940938
2020-04-23,151.29616763096837
2020-04-24,151.63330916267276
2020-04-27,153.15844372986382
2020-04-28,154.04160920323258
2020-04-29,157.01122454910325
2020-04-30,155.20257021100252
2020-05-01,152.35461018997626
2020-05-04,152.57559466970832
2020-05-05,153.5159891561056
2020-05-06,151.88260637685053
2020-05-07,153.48901376381272
2020-05-08,155.67510084481444
2020-05-11,154.57994441871062
2020-05-12,152.55725646044573
2020-05-13,150.94898022279963
2020-05-14,151.69442417255894
2020-05-15,152.02584057551732
2020-05-18,156.35641983999597
2020-05-19,155.44504554943197
2020-05-20,157.56658538460243
2020-05-21,157.2269625203736
2020-05-22,157.29206978933036
2020-05-26,159.68473340996266
2020-05-27,160.98181594528066
2020-05-28,160.70592157393207
2020-05-29,161.13575645039106
2020-06-01,162.71975292245406
2020-06-02,163.9959417526538
2020-06-03,165.87434763869956
2020-06-04,165.22829019030794
2020-06-05,168.06516800332352
2020-06-08,169.57814980340478
2020-06-09,168.52143728136494
2020-06-10,167.79315430124734
2020-06-11,161.58347169091212
2020-06-12,163.62930948024774
2020-06-15,164.94507141026247
2020-06-16,166.28809469733824
2020-06-17,165.56950879943423
2020-06-18,165.58725444550078
2020-06-19,165.18745601055952
2020-06-22,165.93864277465414
2020-06-23,166.00638685285492
2020-06-24,163.21115145498393
2020-06-25,164.43106498420715
2020-06-26,162.73383776271578
2020-06-29,164.33597442013343
2020-06-30,165.1439348599325
2020-07-01,165.64861900762065
2020-07-02,166.3579788810143
2020-07-06,167.6259157882806
2020-07-07,167.00260651522126
2020-07-08,167.97941447750478
2020-07-09,167.35032725512454
2020-07-10,167.77847869020167
2020-07-13,166.9248559219441
2020-07-14,167.96309551019266
2020-07-15,169.23365363673858
2020-07-16,168.49657335313483
2020-07-17,169.14550303371817
2020-07-20,169.44889667218337
2020-07-21,170.63381307172853
2020-07-22,171.58496484927332
2020-07-23,171.623176963822
2020-07-24,171.4799384266422
2020-07-27,172.78941587590907
2020-07-28,172.73788465393375
2020-07-29,174.24214122313418
2020-07-30,173.51471864133353
2020-07-31,173.8340676588742
2020-08-03,174.39909141657583
2020-08-04,175.69980702149658
2020-08-05,176.53454147091594
2020-08-06,177.39496516934264
2020-08-07,176.6328653706798
2020-08-10,176.8390004657177
2020-08-11,174.1243973579713
2020-08-12,174.66439540145132
2020-08-13,174.89813590269375
2020-08-14,174.6219752715194
2020-08-17,176.1777595555392
2020-08-18,176.45301324446484
2020-08-19,174.90005423350578
2020-08-20,175.30379784886176
2020-08-21,174.9356072383908
2020-08-24,175.5380934493251
2020-08-25,175.8268712275489
2020-08-26,176.14284236295978
2020-08-27,175.54777348249556
2020-08-28,176.70595516525475
2020-08-31,176.30284002687083
2020-09-01,177.19261588012498
2020-09-02,177.20763234013666
2020-09-03,175.2974492429308
2020-09-04,174.45106371187222
2020-09-08,172.68417101771513
2020-09-09,174.10703760014493
2020-09-10,172.92194348017503
